Province,Province_Abbr,Year,Month,YearMonth,Age_Group,Unemployment_Rate,Participation_Rate,FT_Employment,PT_Employment,Part_Time_Share,Nominal_Wage,CPI_Index,Real_Wage,Gender_Wage_Gap,FT_Wage_Premium,Youth_Pop_Share,Post2020,Stress_Index
Saskatchewan,SK,2022,1,2022-01,20-24,8.8,73.0,32.6,11.7,26.410835214446955,17.701483381999314,147.8,16.750338046915562,0.9361519448122568,1.2644187780640201,6.163068079633796,1,0.06885580046990242
Saskatchewan,SK,2022,2,2022-02,20-24,4.1,72.3,30.7,15.5,33.54978354978355,17.761524691424235,149.1,16.660611943671636,0.9342958577579288,1.2627755216590482,6.163068079633796,1,-0.21751025806150914
Saskatchewan,SK,2022,3,2022-03,20-24,8.9,75.7,29.6,16.5,35.79175704989154,17.82502500095429,151.4,16.466170992460142,0.9327962759204462,1.261097866930439,6.163068079633796,1,-0.006456623416406304
Saskatchewan,SK,2022,4,2022-04,20-24,7.1,76.0,32.9,14.2,30.14861995753716,17.89080349858296,152.4,16.418490546627176,0.9317429552457717,1.2594180729017697,6.163068079633796,1,-0.1452637583036777
Saskatchewan,SK,2022,5,2022-05,20-24,8.1,82.8,37.9,13.0,25.540275049115913,17.957679372304224,153.8,16.329851154387825,0.9312256516798553,1.257768398596605,6.163068079633796,1,-0.43760301909884514
Saskatchewan,SK,2022,6,2022-06,20-24,4.9,85.1,38.7,15.5,28.59778597785978,18.02447181011209,155.4,16.221831316447403,0.9313341211686532,1.2561811030385088,6.163068079633796,1,-0.7795596841595124
Saskatchewan,SK,2022,7,2022-07,20-24,2.5,82.4,41.5,12.4,23.00556586270872,18.09,156.4,16.17670875959079,0.9321581196581197,1.2546884452510585,6.163068079633796,1,-0.7919664203483867
Saskatchewan,SK,2022,8,2022-08,20-24,8.7,80.2,38.1,11.1,22.560975609756095,18.15335632940024,154.8,16.401150908501517,0.9337524659067964,1.2533156957665799,6.163068079633796,1,-0.2623106449344264
Saskatchewan,SK,2022,9,2022-09,20-24,6.9,69.4,29.2,14.3,32.87356321839081,18.214725983498152,155.7,16.361472178390574,0.9360322299235834,1.252060171152447,6.163068079633796,1,0.23180242254406433
Saskatchewan,SK,2022,10,2022-10,20-24,7.5,71.0,28.4,15.9,35.89164785553048,18.274567346916868,157.8,16.196771429198655,0.9388775445299488,1.2509121994848056,6.163068079633796,1,0.22639902031891704
Saskatchewan,SK,2022,11,2022-11,20-24,6.0,72.0,29.0,16.8,36.681222707423586,18.333338804280007,157.0,16.33165738599954,0.9421685425473784,1.2498621088397912,6.163068079633796,1,0.023762191035227004
Saskatchewan,SK,2022,12,2022-12,20-24,7.0,74.2,30.0,16.6,35.622317596566525,18.391498740211194,155.7,16.520259224842885,0.9457853567973631,1.24890022729354,6.163068079633796,1,-0.07540713702964835
Saskatchewan,SK,2023,1,2023-01,20-24,9.3,77.9,30.2,17.8,37.083333333333336,18.44950553933356,156.7,16.466605587461984,0.9496081201013636,1.248016882922197,6.264950336994539,1,-0.10270386742848474
Saskatchewan,SK,2023,2,2023-02,20-24,8.4,75.2,30.0,16.9,36.034115138592746,18.507817586270733,157.6,16.424318028256224,0.9535169652808702,1.2472024038018974,6.264950336994539,1,-0.004427536565871719
Saskatchewan,SK,2023,3,2023-03,20-24,10.0,77.9,33.0,14.9,31.106471816283925,18.56689326564633,158.8,16.35223392513341,0.9573920251573736,1.246447118008779,6.264950336994539,1,-0.021857785751069562
Saskatchewan,SK,2023,4,2023-04,20-24,5.8,72.4,34.6,12.1,25.91006423982869,18.62719096208348,160.4,16.24169502891973,0.9611134325523335,1.2457413536189845,6.264950336994539,1,0.008729153811319371
Saskatchewan,SK,2023,5,2023-05,20-24,10.1,82.4,40.2,10.7,21.021611001964633,18.689169060205803,160.4,16.295735886192535,0.9645613202872408,1.2450754387086513,6.264950336994539,1,-0.25758254204567493
Saskatchewan,SK,2023,6,2023-06,20-24,7.9,84.9,42.0,11.9,22.07792207792208,18.75328594463694,160.5,16.34145368685575,0.967615821183584,1.2444397013539157,6.264950336994539,1,-0.5755075431892022
Saskatchewan,SK,2023,7,2023-07,20-24,6.0,83.8,43.4,11.2,20.512820512820515,18.82,161.1,16.33850920753155,0.9701570680628272,1.2438244696309213,6.264950336994539,1,-0.6529473194856312
Saskatchewan,SK,2023,8,2023-08,20-24,8.0,84.1,43.8,10.2,18.88888888888889,18.88976961091861,161.6,16.348339695753246,0.9720651937464594,1.2432200716158046,6.264950336994539,1,-0.5240571788042182
Saskatchewan,SK,2023,9,2023-09,20-24,8.5,72.1,34.1,12.2,26.34989200863931,18.96305316201643,161.2,16.45248765602366,0.9732203310559638,1.2426168353847031,6.264950336994539,1,0.17321619905012386
Saskatchewan,SK,2023,10,2023-10,20-24,6.6,73.4,33.9,14.3,29.66804979253112,19.040309037916522,160.6,16.581232180539278,0.9735026128128141,1.2420050890137593,6.264950336994539,1,-0.07473769594498665
Saskatchewan,SK,2023,11,2023-11,20-24,9.2,74.0,34.3,13.1,27.637130801687764,19.12199562324254,160.6,16.652368853511806,0.9727921718384953,1.2413751605791101,6.264950336994539,1,0.06608151159246099
Saskatchewan,SK,2023,12,2023-12,20-24,12.4,71.7,31.5,13.3,29.687500000000007,19.208571302618182,159.9,16.80099292119246,0.9709691409544816,1.2407173781568932,6.264950336994539,1,0.3977922481947567
Saskatchewan,SK,2024,1,2024-01,20-24,8.6,69.7,30.9,14.6,32.08791208791209,19.300494460666435,159.7,16.902535928478645,0.9679136529822631,1.2400220698232511,6.582987944237692,1,0.2043633431022537
